food_id,name_kr,serving_g,carb_g,protein_g,fat_g,sugar_g,sodium_mg
saelreodeugimbab,샐러드김밥,250.0,75.84150000000001,12.764000000000001,7.508,0.0,906.6774999999999
gwangeocobab,광어초밥,300.0,72.526,33.741499999999995,3.206,5.229,951.2755
sogogigimbab,소고기김밥,250.0,76.07049999999998,14.671000000000001,6.636000000000001,0.0,1477.9844999999998
galbisamgaggimbab,갈비삼각김밥,100.0,32.745999999999995,6.861000000000001,2.5949999999999998,0.0,398.119
yeoneorol,연어롤,300.0,76.107,20.723,14.719000000000001,0.0,1243.818
yeoneocobab,연어초밥,250.0,70.868,24.939999999999998,5.763,3.964,995.03
yubucobab,유부초밥,250.0,78.47399999999999,12.366000000000001,11.231999999999998,6.765,929.0659999999998
jangeocobab,장어초밥,400.0,74.84050999999998,16.325039999999998,12.734900000000001,2.0595,1291.8050500000002
camcigimbab,참치김밥,250.0,47.553,19.825,14.586999999999998,0.0,925.7310000000001
camcimayosamgaggimbab,참치마요삼각김밥,100.0,31.933999999999997,8.11,2.889,0.0,189.10000000000002
cijeugimbab,치즈김밥,250.0,77.125,17.1226,8.843,0.0,919.9703
kaelriponiarol,캘리포니아롤,300.0,81.22,12.8,9.73,0.0,1351.96
hancicobab,한치초밥,250.0,77.31,13.54,1.2,1.74,1153.49
ilbangimbab,일반김밥,200.0,63.636,10.276,5.424,0.0,951.3200000000002
ganjajang,간자장,650.0,121.74799999999998,29.283200000000004,26.380599999999998,6.7932,2347.7712
guljjambbong,굴짬뽕,900.0,115.816,37.39,7.759,1.998,2385.3450000000003
giseumyeon,기스면,1000.0,98.30199999999999,43.516999999999996,11.004000000000001,0.0,2279.5240000000003
gimciramyeon,김치라면,650.0,80.56555,12.970749999999999,20.338500000000003,2.27305,2628.288
gimciudong,김치우동,800.0,99.064,16.744,4.736,0.0,3003.048
gimcimaligugsu,김치말이국수,600.0,60.75599999999999,10.418000000000003,2.469,2.997,2335.4480000000003
dalgkalgugsu,닭칼국수,900.0,70.238,39.85900000000001,19.587000000000007,0.0,2492.774
deulggaekalgugsu,들깨칼국수,600.0,76.674,17.477,6.778,2.398,1695.7730000000001
ddeogramyeon,떡라면,700.0,121.08300000000001,15.451,17.579000000000004,0.0,2214.3559999999998
ramyeon,라면,550.0,83.16800000000002,14.077000000000002,17.748,0.0,1695.5009999999997
maggugsu,막국수,550.0,111.30199999999998,26.9485,5.0874999999999995,11.022,1828.021
memilgugsu,메밀국수,600.0,120.08700000000003,25.259000000000004,4.526999999999999,10.162,1962.4579999999996
mulnaengmyeon,물냉면,800.0,96.40300000000002,28.784,9.779,1.199,2586.1597
bibimgugsu,비빔국수,550.0,114.475,16.705000000000002,9.549999999999999,11.014999999999999,1628.3000000000002
bibimnaengmyeon,비빔냉면,550.0,91.49200000000002,23.699,9.127999999999998,1.999,1530.5699999999997
samseonudong,삼선우동,1000.0,89.195,56.1725,10.527999999999999,1.999,2351.4322
samseonjajangmyeon,삼선자장면,700.0,111.57,38.326,24.682,1.999,2791.1097
samseonjjambbong,삼선짬뽕,900.0,89.31099999999999,39.17,13.452,2.997,2825.6600000000003
sujebi,수제비,800.0,99.21699999999998,38.529,6.5409999999999995,0.0,1669.3157
ssalgugsu,쌀국수,600.0,46.19799999999999,21.848000000000003,5.814,2.198,2032.165
yeolmugimcigugsu,열무김치국수,800.0,81.61199999999998,21.935999999999996,8.223,0.0,2587.704
oilsoseuseupageti,오일소스스파게티,400.0,99.24400000000001,14.675,16.585,0.0,968.6960000000001
ilsigudong,일식우동,700.0,81.226,16.935,1.739,0.5,1873.5439999999994
boggeumudong,볶음우동,300.0,62.259,9.584999999999997,10.809999999999999,0.9084,1461.3100000000002
jajangmyeon,자장면,650.0,134.2891,15.739625,23.1648,7.992,2446.9963749999997
jancigugsu,잔치국수,700.0,104.66499999999999,20.262,6.226000000000001,0.44,1792.2259999999999
jjambbong,짬뽕,1000.0,118.54399999999998,25.525,13.524999999999999,0.0,3451.3679999999995
jjambbongramyeon,짬뽕라면,750.0,88.792,31.408000000000005,24.628,0.0,2380.926
jjolmyeon,쫄면,450.0,110.852,12.358,6.932,22.13,1271.545
cijeuramyeon,치즈라면,600.0,83.534,23.346999999999998,23.282,0.0,2425.9700000000003
konggugsu,콩국수,800.0,67.116,47.802,20.433000000000003,0.999,875.8390999999999
keurimsoseuseupageti,크림소스스파게티,400.0,85.87595000000002,19.442750000000004,45.39685000000001,0.0,1025.2077000000002
tomatososeuseupageti,토마토소스스파게티,500.0,102.07200000000002,20.222399999999997,17.3664,0.0,1404.8111999999999
haemulkalgugsu,해물칼국수,900.0,124.20989999999999,24.873299999999997,4.0107,0.0,2195.0534999999995
hoenaengmyeon,회냉면,550.0,131.8955,20.218000000000004,8.777999999999999,22.728749999999998,1524.2755
ddeoggug,떡국,800.0,144.02990000000003,21.862199999999998,5.386700000000001,0.0,2019.2821000000001
ddeogmandusgug,떡만둣국,700.0,113.9604,22.721700000000002,9.3978,0.0,1999.1163000000001
jjajangramyeon,짜장라면,250.0,63.77499999999999,12.0125,14.850000000000001,0.0,1276.375
gogimandu,고기만두,250.0,55.325,18.6575,18.244999999999997,0.0,888.8000000000002
gunmandu,군만두,250.0,76.17,19.772499999999997,31.174999999999997,0.0,983.7025000000001
gimcimandu,김치만두,250.0,60.7932,18.4314,13.096200000000001,0.0,961.9740000000002
mulmandu,물만두,120.0,20.484949999999998,5.8580999999999985,5.842,0.0,269.51974999999993
mandusgug,만둣국,700.0,53.276999999999994,19.243000000000002,14.924000000000001,0.0,2356.6689999999994
gesaljug,게살죽,800.0,103.5906,18.146600000000003,7.6259999999999994,0.0,1533.9576
ggaejug,깨죽,800.0,71.13100000000001,13.429400000000001,18.940600000000003,0.0,1212.2731000000003
dalgjug,닭죽,1000.0,92.53000000000003,75.93,48.17999999999999,0.0,789.79
sogogibeoseosjug,소고기버섯죽,800.0,102.9346,20.524599999999996,6.461599999999999,0.0,1263.6199999999997
eojug,어죽,800.0,90.46730000000001,15.530899999999999,6.0753,0.0,1621.2897000000003
jasjug,잣죽,700.0,153.7851,15.791900000000002,20.2943,0.0,850.6253
jeonbogjug,전복죽,800.0,105.0365,14.574800000000002,11.454,0.0,1423.9314000000004
camcijug,참치죽,800.0,105.9396,26.083199999999998,13.8528,0.0,1264.146
caesojug,채소죽,800.0,100.79520000000001,11.8939,5.1294,0.0,1211.6340000000002
patjug,팥죽,600.0,100.74000000000001,20.592,0.564,4.7940000000000005,1026.114
hobagjug,호박죽,600.0,111.40800000000002,8.112,0.72,25.776000000000003,911.7180000000001
konseupeu,콘스프,400.0,35.372,5.822,14.016,0.0,1319.462
tomatoseupeu,토마토스프,400.0,12.418000000000001,18.200000000000003,25.402,0.0,1544.308
gulgug,굴국,450.0,11.443499999999998,22.8015,8.649000000000003,0.0,1775.9700000000003
gimcigug,김치국,450.0,13.005,6.0345,3.375,0.0,1646.1495000000002
dalgyalgug,달걀국,450.0,5.350499999999999,16.1865,11.110500000000002,0.0,1263.9645
gamjagug,감자국,700.0,37.00899999999999,16.996,2.163,0.0,1734.152
miyeoggug,미역국,500.0,4.694999999999999,2.7000000000000006,4.35,0.0,1527.55
bajiragjogaegug,바지락조개국,550.0,8.5085,25.828,1.8425,0.0,1650.847
sogogimugug,소고기무국,400.0,8.136,13.512000000000002,4.715999999999999,0.0,1095.184
sogogimiyeoggug,소고기미역국,650.0,6.909500000000001,20.228,6.825000000000001,0.0,2006.8749999999998
sundaegug,순대국,800.0,22.816000000000006,41.224000000000004,32.93599999999999,0.0,1532.5919999999999
eomuggug,어묵국,600.0,37.164,22.854,4.2059999999999995,0.0,2022.7440000000001
ojingeogug,오징어국,500.0,10.595,27.740000000000006,2.3549999999999995,0.0,1573.4199999999998
torangug,토란국,250.0,85.16,23.8875,7.0725,0.0,700.6700000000001
tanggug,탕국,250.0,2.575,12.0775,4.32,0.0,663.0474999999999
honghabmiyeoggug,홍합미역국,650.0,14.131,19.987499999999997,6.4285,0.0,2066.272
hwangtaehaejanggug,황태해장국,600.0,6.389999999999999,25.212,7.218000000000001,0.0,1526.8200000000002
geundaedoenjanggug,근대된장국,450.0,8.136,15.309,3.2129999999999996,0.0,1453.1940000000002
misodoenjanggug,미소된장국,150.0,1.6949999999999998,4.1385,1.7459999999999998,0.0,511.98
